Artifact Type,Program/Capability,App ID,Source Hive,Last Used Start / Last Execution,Registry Path,Key Modified,Raw Hex
DAM,system32\drivers\Ndu.sys,Ndu,,,ROOT\ControlSet001\Services\Ndu,2019-03-19T04:53:37.881229,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 4E 64 75 2E 73 79 73
DAM,system32\drivers\NetAdapterCx.sys,NetAdapterCx,,,ROOT\ControlSet001\Services\NetAdapterCx,2019-03-19T04:53:37.881229,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 4E 65 74 41 64 61 70 74 65 72 43 78 2E 73 79 73
DAM,system32\drivers\netbios.sys,NetBIOS,,,ROOT\ControlSet001\Services\NetBIOS,2019-03-19T04:55:43.719369,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 65 74 62 69 6F 73 2E 73 79 73
DAM,System32\DRIVERS\netbt.sys,NetBT,,,ROOT\ControlSet001\Services\NetBT,2019-03-19T04:53:37.881229,53 79 73 74 65 6D 33 32 5C 44 52 49 56 45 52 53 5C 6E 65 74 62 74 2E 73 79 73
DAM,%systemroot%\system32\lsass.exe,Netlogon,,,ROOT\ControlSet001\Services\Netlogon,2019-03-19T04:53:37.865603,25 73 79 73 74 65 6D 72 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 6C 73 61 73 73 2E 65 78 65
DAM,%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p,Netman,,,ROOT\ControlSet001\Services\Netman,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\System32\svchost.exe -k LocalService -p,netprofm,,,ROOT\ControlSet001\Services\netprofm,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\System32\svchost.exe -k netsvcs -p,NetSetupSvc,,,ROOT\ControlSet001\Services\NetSetupSvc,2026-03-01T06:34:41.513936,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%systemroot%\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,NetTcpPortSharing,,,ROOT\ControlSet001\Services\NetTcpPortSharing,2019-03-19T06:23:27.628517,25 73 79 73 74 65 6D 72 6F 6F 74 25 5C 4D 69 63 72 6F 73 6F 66 74 2E 4E 45 54 5C 46 72 61 6D 65 77 6
DAM,\SystemRoot\System32\drivers\netvsc.sys,netvsc,,,ROOT\ControlSet001\Services\netvsc,2019-03-19T04:53:37.724967,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 65 74 76 7
